timestamp,arrivalTime,ueAppAddress,ueAppPort,car,recv_packet_size(B),uplink_delay(s),Queueing_delay(s),processing_delay(s),idframe,nbSentMsg
3.7385046912,3.7385046912,10.0.5.16,4009,car[18],2000,0.0000016996,0,0.002,251,250
3.739002984,3.739002984,10.0.3.248,4009,car[13],2000,0.0000016996,0,0.002,251,250
3.7390046912,3.7390046912,10.0.4.104,4009,car[15],2000,0.0000016996,0,0.002,251,250
3.7390063984,3.7390063984,10.0.4.160,4009,car[16],2000,0.0000016996,0,0.002,251,250
3.7395010168,3.7395010168,10.0.2.112,4009,car[6],2000,0.0014997324,0,0.002,251,250
3.7400010168,3.7400010168,10.0.4.48,4009,car[14],2000,0.0004992596,0,0.002,251,250
3.740502984,3.740502984,10.0.3.80,4009,car[10],2000,0.0000016996,0,0.002,251,250
3.741502984,3.741502984,10.0.1.32,4009,car[0],2000,0.0000016996,0,0.002,251,250
3.746002984,3.746002984,10.0.1.144,4009,car[2],2000,0.0000016996,0,0.002,252,251
3.7460046912,3.7460046912,10.0.2.168,4009,car[7],2000,0.0000016996,0,0.002,252,251
3.7460063984,3.7460063984,10.0.6.253,4009,car[19],2000,0.0000016996,0,0.002,52,51
3.746502984,3.746502984,10.0.1.88,4009,car[1],2000,0.0000016996,0,0.002,252,251
3.7465046912,3.7465046912,10.0.1.200,4009,car[3],2000,0.0000016996,0,0.002,252,251
3.7465063984,3.7465063984,10.0.3.24,4009,car[9],2000,0.0000016996,0,0.002,252,251
3.747002984,3.747002984,10.0.2.56,4009,car[5],2000,0.0000016996,0,0.002,252,251
3.7470046912,3.7470046912,10.0.3.192,4009,car[12],2000,0.0000016996,0,0.002,252,251
3.747502984,3.747502984,10.0.2.0,4009,car[4],2000,0.0000016996,0,0.002,252,251
3.7475046912,3.7475046912,10.0.2.224,4009,car[8],2000,0.0000016996,0,0.002,252,251
3.748502984,3.748502984,10.0.4.216,4009,car[17],2000,0.0000016996,0,0.002,252,240
3.7485046912,3.7485046912,10.0.5.16,4009,car[18],2000,0.0000016996,0,0.002,252,251
3.749002984,3.749002984,10.0.3.248,4009,car[13],2000,0.0000016996,0,0.002,252,251
3.7490046912,3.7490046912,10.0.4.104,4009,car[15],2000,0.0000016996,0,0.002,252,251
3.7490063984,3.7490063984,10.0.4.160,4009,car[16],2000,0.0000016996,0,0.002,252,251
3.7495010168,3.7495010168,10.0.2.112,4009,car[6],2000,0.0014997324,0,0.002,252,251
